bookid,author,title

44,Nicholas Sparks,The Notebook
45,Yann Martel,Life of Pi
46,Sara Gruen,Water for Elephants
47,Markus Zusak,The Book Thief
48,Ray Bradbury,Fahrenheit 451
49,Stephenie Meyer,"New Moon (Twilight, #2)"
51,Cassandra Clare,City of Bones
52,Stephenie Meyer,Eclipse
53,Christopher Paolini,Eragon
54,Douglas Adams,The Hitchhiker's Guide to the Galaxy
55,Aldous Huxley,Brave New World
56,Stephenie Meyer,Breaking Dawn
57,Sue Monk Kidd,The Secret Life of Bees
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time
61,Paula Hawkins,The Girl on the Train
62,Philip Pullman,Northern Lights
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights
64,Jodi Picoult,My Sister's Keeper
66,Margaret Mitchell,Gone with the Wind
67,Khaled Hosseini,A Thousand Splendid Suns
68,Stephen Chbosky,The Perks of Being a Wallflower
69,Veronica Roth,Insurgent
70,Orson Scott Card,Ender's Game
72,Stephen King,The Shining
73,Stephenie Meyer,The Host
74,John Green,Looking for Alaska
75,Helen Fielding,
77,"Louis Sachar, Louis Sachar",Holes
78,Lauren Weisberger,The Devil Wears Prada
81,Jeannette Walls,The Glass Castle
82,Jon Krakauer,Into the Wild
84,Michael Crichton,Jurassic Park
85,Shel Silverstein,The Giving Tree
86,John Grisham,A Time to Kill
87,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign
88,John Green,Paper Towns
89,William Goldman,The Princess Bride
90,S.E. Hinton,The Outsiders
91,James Dashner,The Maze Runner
93,Frances Hodgson Burnett,The Secret Garden
94,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray
96,E.L. James,Fifty Shades Freed
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula
98,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden
99,E.L. James,Fifty Shades Darker
100,Barbara Kingsolver,The Poisonwood Bible
101,David Sedaris,Me Talk Pretty One Day
102,Maurice Sendak,Where the Wild Things Are
103,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo
104,Cormac McCarthy,The Road
105,Veronica Roth,Allegiant
106,Tina Fey,Bossypants
107,Nicholas Sparks,A Walk to Remember
108,Sophie Kinsella,Confessions of a Shopaholic
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables
110,George R.R. Martin,A Clash of Kings
111,Kim Edwards,The Memory Keeper's Daughter
112,Jojo Moyes,Me Before You
113,Joseph Heller,Catch-22
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie
115,Jeffrey Eugenides,Middlesex
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer
117,Madeleine L'Engle,A Wrinkle in Time
118,Amy Tan,The Joy Luck Club
119,Margaret Atwood,The Handmaid's Tale
120,Ann Brashares,The Sisterhood of the Traveling Pants
121,"Vladimir Nabokov, Craig Raine",Lolita
123,John Grisham,The Firm
124,Emma Donoghue,Room
126,Frank Herbert,Dune
128,Walter Isaacson,Steve Jobs
129,Ken Kesey,One Flew Over the Cuckoo's Nest
130,Ernest Hemingway,The Old Man and the Sea
131,John Steinbeck,The Grapes of Wrath
132,Mitch Albom,The Five People You Meet in Heaven
133,L.M. Montgomery,Anne of Green Gables
134,Cassandra Clare,City of Glass
135,George R.R. Martin,A Storm of Swords
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood
137,Diana Gabaldon,Outlander
139,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children
140,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes
141,Andy Weir,The Martian
142,Ken Follett,The Pillars of the Earth
143,Anthony Doerr,
145,Dan Brown,Deception Point
146,Donna Tartt,The Goldfinch
147,Jay Asher,Thirteen Reasons Why
148,Tracy Chevalier,Girl with a Pearl Earring
149,Gayle Forman,If I Stay
150,Anita Diamant,The Red Tent
151,Rick Riordan,The Sea of Monsters
152,Nicholas Sparks,Dear John
153,Cassandra Clare,City of Ashes
154,William Shakespeare,The Tragedy of Macbeth
155,J.R.R. Tolkien,The Two Towers
156,Emily Giffin,Something Borrowed
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham
158,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory
159,Rick Riordan,The Battle of the Labyrinth
160,Charles Dickens,Great Expectations
161,J.R.R. Tolkien,The Return of the King
162,"Albert Camus, Matthew    Ward",L’Étranger
163,Rick Riordan,The Lost Hero
164,Rainbow Rowell,Eleanor & Park
165,George R.R. Martin,A Feast for Crows
166,Ally Condie,Matched
167,Neil Gaiman,American Gods
168,"Stephen King, Bernie Wrightson",The Stand
169,Nicholas Sparks,The Last Song
170,Dan Brown,Digital Fortress
171,"Jane Austen, Fiona Stafford",Emma
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина
173,Anthony Burgess,A Clockwork Orange
174,William Paul Young,The Shack: Where Tragedy Confronts Eternity
175,Rick Riordan,The Last Olympian
176,Stephen King,It
177,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание
178,Sylvia Plath,The Bell Jar
179,Frank McCourt,Angela's Ashes: A Memoir
180,"Hermann Hesse, Hilda Rosner",Siddhartha
181,Truman Capote,In Cold Blood
182,"Kami Garcia, Margaret Stohl",Beautiful Creatures
183,Cassandra Clare,Clockwork Angel
184,"Roald Dahl, Quentin Blake",Matilda
185,Erin Morgenstern,The Night Circus
186,Philippa Gregory,The Other Boleyn Girl
187,Scott Westerfeld,Uglies
188,George R.R. Martin,A Dance with Dragons
189,J.R.R. Tolkien,The Lord of the Rings
190,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail 
191,"Alan Moore, Dave Gibbons, John Higgins",Watchmen
192,Patrick Rothfuss,The Name of the Wind
193,Malcolm Gladwell,Outliers: The Story of Success
194,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby Dick; or, The Whale"
195,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society
196,Chuck Palahniuk,Fight Club
197,Charlaine Harris,Dead Until Dark
198,Alice Walker,The Color Purple
199,John Grogan,Marley & Me: Life and Love with the World's Worst Dog
200,Agatha Christie,Ten Little Niggers
201,Dan Brown,The Lost Symbol
202,Becca Fitzpatrick,"Hush, Hush"
203,Jamie McGuire,Beautiful Disaster
204,Charles Dickens,A Christmas Carol
205,Anne Rice,Interview with the Vampire
206,Kiera Cass,The Selection
207,Janet Evanovich,One for the Money
208,Rebecca Skloot,The Immortal Life of Henrietta Lacks
209,Thomas Harris,The Silence of the Lambs
210,Richelle Mead,
211,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking
212,Ian McEwan,Atonement
213,"Franz Kafka, Stanley Corngold",Die Verwandlung
214,Rick Riordan,The Titan's Curse
215,Ernest Cline,
216,Garth Stein,The Art of Racing in the Rain
217,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America"
218,Sylvia Day,Bared to You
219,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia
220,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion
221,Dave Pelzer,"A Child Called ""It"": One Child's Courage to Survive"
222,Robert Ludlum,The Bourne Identity
223,Eoin Colfer,Artemis Fowl
224,Lauren Kate,Fallen
225,John Steinbeck,East of Eden  
226,Gillian Flynn,Dark Places
227,John Grisham,The Client
228,"Emma McLaughlin, Nicola Kraus",The Nanny Diaries
229,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion
231,Tatiana de Rosnay,Elle s'appelait Sarah
232,Stephen King,The Gunslinger
233,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera
234,Laurie Halse Anderson,Speak
235,Liane Moriarty,The Husband's Secret 
236,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster
237,Stephen King,Carrie
238,Augusten Burroughs,Running with Scissors
239,Max Brooks,World War Z: An Oral History of the Zombie War
240,Dan Brown,Inferno
241,Lois Lowry,Number the Stars
242,James Patterson,Along Came a Spider
243,Stephen King,Misery
244,Gillian Flynn,Sharp Objects
245,Katherine Paterson,Bridge to Terabithia
246,"P.C. Cast, Kristin Cast",Marked
247,Stephen R. Covey,The 7 Habits of Highly Effective People
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream
249,Jonathan Safran Foer,Extremely Loud and Incredibly Close
250,R.J. Palacio,Wonder
251,Dr. Seuss,The Cat in the Hat
252,Marissa Meyer,Cinder
253,"Robert Galbraith, J.K. Rowling",The Cuckoo's Calling
254,Maggie Stiefvater,Shiver
255,"Ayn Rand, Leonard Peikoff",Atlas Shrugged
256,"Greg Mortenson, David Oliver Relin",Three Cups of Tea 
257,"Jane Carruth, Lewis Carroll, Rene Cloke",
258,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento
259,James Dashner,The Scorch Trials
260,Dale Carnegie,How to Win Friends and Influence People
261,Frances Mayes,Under the Tuscan Sun
262,Liane Moriarty,Big Little Lies
263,Gail Carson Levine,Ella Enchanted
264,Ernest Hemingway,The Sun Also Rises
265,Betty  Smith,A Tree Grows In Brooklyn 
266,James Patterson,Kiss the Girls
267,Kristin Hannah,The Nightingale
268,Kazuo Ishiguro,Never Let Me Go
269,Cecelia Ahern,"PS, I Love You"
270,"Daphne du Maurier, Sally Beauman",Rebecca
271,Daniel Keyes,Flowers for Algernon
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Como agua para chocolate
273,Lisa See,Snow Flower and the Secret Fan
274,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather
275,John Green,An Abundance of Katherines
276,Isaac Asimov,Foundation
277,Neil Gaiman,The Ocean at the End of the Lane
278,Shel Silverstein,A Light in the Attic
279,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child, Parts One and Two"
280,Lauren Oliver,Delirium
281,John Grisham,The Pelican Brief
282,Neil Gaiman,Coraline
283,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
284,Jack Kerouac,On the Road
285,Graeme Simsion,The Rosie Project
286,Nicholas Sparks,The Lucky One
287,"Ayn Rand, Leonard Peikoff",The Fountainhead
288,Tom Clancy,The Hunt for Red October
289,Richard Adams,Watership Down
290,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns)
291,Abraham Verghese,Cutting for Stone
292,"C.S. Lewis, Pauline Baynes",The Voyage of the Dawn Treader
293,Robert Louis Stevenson,Treasure Island
294,Rick Riordan,The Son of Neptune 
295,Stephen King,11/22/1963
296,Eric Carle,The Very Hungry Caterpillar
297,Kurt Vonnegut Jr.,Cat's Cradle
298,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine
299,"Todd Burpo, Lynn Vincent",
300,John Boyne,The Boy in the Striped Pyjamas
301,Joseph Conrad,Heart of Darkness
302,Nicholas Sparks,Safe Haven
303,Rhonda Byrne,The Secret
304,Wally Lamb,I Know This Much Is True 
305,Stephen King,Pet Sematary
306,Wally Lamb,She's Come Undone
307,Patrick Rothfuss,The Wise Man's Fear
308,Sophie Kinsella,Can You Keep a Secret?
309,Cassandra Clare,City of Fallen Angels
310,Jennifer Weiner,Good in Bed
311,Colleen McCullough,The Thorn Birds
312,"Neil Gaiman, Dave McKean",The Graveyard Book
313,M.L. Stedman,The Light Between Oceans
314,"Cornelia Funke, Anthea Bell",Tintenherz
315,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?
316,Bill Bryson,A Walk in the Woods
317,Maya Angelou,I Know Why the Caged Bird Sings
318,Christina Baker Kline,Orphan Train
319,Cassandra Clare,City of Lost Souls
320,Maria Semple,"Where'd You Go, Bernadette"
321,Wilson Rawls,Where the Red Fern Grows
322,Neil Gaiman,Neverwhere
323,"Milan Kundera, Michael Henry Heim",Nesnesitelná lehkost bytí
324,Rainbow Rowell,
325,John Irving,A Prayer for Owen Meany
326,Janet Fitch,White Oleander
327,Marie Lu,Legend
328,Jodi Picoult,Nineteen Minutes
329,"Randy Pausch, Jeffrey Zaslow",The Last Lecture
330,Robert Jordan,The Eye of the World
331,Jodi Picoult,The Pact
332,C.S. Lewis,The magician's nephew
333,Lisa Genova,Still Alice
334,Sylvia Day,Reflected in You
335,"Roald Dahl, Quentin Blake",James and the Giant Peach
336,James Patterson,1st To Die
337,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
338,David Nicholls,One Day
339,"Margaret Wise Brown, Clement Hurd",
340,Pittacus Lore,I Am Number Four
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",Ἰλιάς
342,J.K. Rowling,The Casual Vacancy
343,John Grisham,The Runaway Jury
344,David Sedaris,Naked
345,Christopher Paolini,Eldest
346,"L. Frank Baum, W.W. Denslow",The Wonderful Wizard of Oz
347,C.S. Lewis,Prince Caspian: The Return to Narnia
348,E. Lockhart,We Were Liars
349,Stephen King,Salem's Lot
350,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
351,Cassandra Clare,Clockwork Prince
352,Amy Poehler,Yes Please
353,William Shakespeare,"The Tragedy of Othello, The Moor of Venice"
354,Toni Morrison,Beloved
355,Kristin Cashore,Graceling
356,"Lemony Snicket, Brett Helquist",The Bad Beginning
357,"Erich Maria Remarque, A.W. Wheen",Im Westen nichts Neues
358,Dr. Seuss,"Oh, the Places You'll Go!"
359,Khaled Hosseini,And The Mountains Echoed
360,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?
361,"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist
362,C.S. Lewis,A Grief Observed
363,Stephanie Perkins,Anna and the French Kiss
364,Dr. Seuss,How the Grinch Stole Christmas!
365,"Alan Moore, David   Lloyd",V for Vendetta
366,David McCullough,John Adams
367,Dean Koontz,Odd Thomas
368,Philip Pullman,The Subtle Knife
369,Jerry Spinelli,Stargirl
370,Rick Riordan,The Red Pyramid
371,Robert A. Heinlein,Stranger in a Strange Land
372,David Sedaris,Dress Your Family in Corduroy and Denim
373,"Roald Dahl, Quentin Blake",The BFG
374,Bill Bryson,A Short History of Nearly Everything
375,Jack London,The Call of the Wild
376,James Dashner,The Death Cure
377,Neil Gaiman,Stardust
378,Jhumpa Lahiri,The Namesake
379,Deborah Harkness,A Discovery of Witches
380,"Haruki Murakami, Jay Rubin",ノルウェイの森 [Noruwei no Mori]
381,Billie Letts,Where the Heart Is
382,"John Green, David Levithan","Will Grayson, Will Grayson"
383,James Frey,A Million Little Pieces
384,Richelle Mead,Frostbite
385,Susan Cain,Quiet: The Power of Introverts in a World that Can't Stop Talking
386,Scott O'Dell,Island of the Blue Dolphins
387,"Arthur Miller, Christopher Bigsby",The Crucible
388,Gary Paulsen,Hatchet
389,Brandon Sanderson,Mistborn : The Final Empire
390,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr Jekyll and Mr Hyde
391,Dr. Seuss,The Lorax
392,Jeff Kinney,Greg Heffley's Journal
393,Sarah J. Maas,Throne of Glass
394,Richelle Mead,Shadow Kiss
395,Ernest Hemingway,For Whom the Bell Tolls
396,Jamie Ford,Hotel on the Corner of Bitter and Sweet
